class,lines,methods,package,name.length
CachingMetadataReaderFactory,25,6,org.springframework.core.type.classreading,28
CachingMetadataReaderFactory.LinkedHashMap,2,1,org.springframework.core.type.classreading,50
ClassMetadataReadingVisitor,67,22,org.springframework.core.type.classreading,27
EmptyAnnotationVisitor,7,3,org.springframework.core.type.classreading,22
EmptyFieldVisitor,3,1,org.springframework.core.type.classreading,17
EmptyMethodVisitor,3,1,org.springframework.core.type.classreading,18
MetadataReader,4,3,org.springframework.core.type.classreading,14
MetadataReaderFactory,3,2,org.springframework.core.type.classreading,21
MethodMetadataReadingVisitor,32,9,org.springframework.core.type.classreading,28
SimpleMetadataReader,21,4,org.springframework.core.type.classreading,20
SimpleMetadataReaderFactory,15,6,org.springframework.core.type.classreading,27
AbstractClassTestingTypeFilter,4,2,org.springframework.core.type.filter,30
AbstractTypeHierarchyTraversingFilter,43,7,org.springframework.core.type.filter,37
AnnotationTypeFilter,23,5,org.springframework.core.type.filter,20
AspectJTypeFilter,15,2,org.springframework.core.type.filter,17
AssignableTypeFilter,23,5,org.springframework.core.type.filter,20
RegexPatternTypeFilter,7,2,org.springframework.core.type.filter,22
TypeFilter,2,1,org.springframework.core.type.filter,10
MethodMetadata,8,7,org.springframework.core.type,14
StandardAnnotationMetadata,87,11,org.springframework.core.type,26
StandardClassMetadata,40,14,org.springframework.core.type,21
StandardMethodMetadata,39,10,org.springframework.core.type,22
AntPathMatcher,217,10,org.springframework.util,14
AntPathMatcher.AntPatternComparator,53,4,org.springframework.util,43
AntPathStringMatcher,51,4,org.springframework.util,20
Assert,70,26,org.springframework.util,6
AutoPopulatingList,94,29,org.springframework.util,18
AutoPopulatingList.ElementFactory,2,1,org.springframework.util,41
AutoPopulatingList.ElementInstantiationException,3,1,org.springframework.util,56
AutoPopulatingList.ReflectiveElementFactory,13,2,org.springframework.util,51
CachingMapDecorator,118,24,org.springframework.util,19
ClassUtils,363,58,org.springframework.util,10
CollectionUtils,185,18,org.springframework.util,15
CollectionUtils.EnumerationIterator,10,4,org.springframework.util,43
CollectionUtils.MultiValueMapAdapter,58,21,org.springframework.util,44
CommonsLogWriter,22,5,org.springframework.util,16
BooleanComparator,18,5,org.springframework.util.comparator,17
ComparableComparator,4,1,org.springframework.util.comparator,20
CompoundComparator,52,15,org.springframework.util.comparator,18
InstanceComparator,15,3,org.springframework.util.comparator,18
InvertibleComparator,37,9,org.springframework.util.comparator,20
